engine,runs,mean_ms,median_ms,sample_stdev_ms,min_ms,max_ms
java,20,102.73529375,101.650521,3.496405017795305,97.913542,110.866041
grep,20,9.36794575,9.4489165,0.4371644069192269,8.443583,10.105292
