iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,8298792,5152
1,2,java,213379042,5152
2,1,grep,9549667,5152
2,2,java,227218334,5152
3,1,grep,9497792,5152
3,2,java,218273792,5152
4,1,grep,9480375,5152
4,2,java,216243375,5152
5,1,grep,9192625,5152
5,2,java,216222250,5152
6,1,java,233873500,5152
6,2,grep,9032916,5152
7,1,grep,8819750,5152
7,2,java,217021333,5152
8,1,grep,9720208,5152
8,2,java,227228958,5152
9,1,grep,9458708,5152
9,2,java,216271458,5152
10,1,grep,9536333,5152
10,2,java,217480875,5152
11,1,grep,9346375,5152
11,2,java,214995292,5152
12,1,grep,9239542,5152
12,2,java,238456583,5152
13,1,grep,9432625,5152
13,2,java,217651000,5152
14,1,java,214108333,5152
14,2,grep,9307875,5152
15,1,grep,8390417,5152
15,2,java,216134458,5152
16,1,java,240871250,5152
16,2,grep,9141375,5152
17,1,java,220956042,5152
17,2,grep,9246750,5152
18,1,grep,8722708,5152
18,2,java,238925542,5152
19,1,grep,9787167,5152
19,2,java,219022750,5152
20,1,java,216737125,5152
20,2,grep,9231667,5152
