iteration,position,engine,elapsed_ns,matching_lines
1,1,grep,22274375,20608
1,2,java,177628125,20608
2,1,grep,21834917,20608
2,2,java,169692375,20608
3,1,grep,21382334,20608
3,2,java,170623209,20608
4,1,grep,21427625,20608
4,2,java,170045583,20608
5,1,grep,21317833,20608
5,2,java,170244417,20608
6,1,java,168339917,20608
6,2,grep,20834292,20608
7,1,grep,20538042,20608
7,2,java,167917833,20608
8,1,grep,21225250,20608
8,2,java,171233166,20608
9,1,grep,20990833,20608
9,2,java,171107125,20608
10,1,grep,21059250,20608
10,2,java,171381958,20608
11,1,grep,20683791,20608
11,2,java,170002084,20608
12,1,grep,20638625,20608
12,2,java,173115625,20608
13,1,grep,20672625,20608
13,2,java,169909208,20608
14,1,java,167162250,20608
14,2,grep,20792666,20608
15,1,grep,20957334,20608
15,2,java,171260417,20608
16,1,java,168512834,20608
16,2,grep,20794292,20608
17,1,java,170466209,20608
17,2,grep,20847375,20608
18,1,grep,20424084,20608
18,2,java,189540708,20608
19,1,grep,20945625,20608
19,2,java,168496375,20608
20,1,java,168005167,20608
20,2,grep,21203000,20608
